Source,Target,Type,Id,Label,timeset,Weight,source station,target station
192,193,Undirected,226,,,1,menilmontant,pere lachaise
193,194,Undirected,227,,,1,pere lachaise,phillippe auguste
194,195,Undirected,228,,,1,phillippe auguste,alexandre dumas
195,196,Undirected,229,,,1,alexandre dumas,avron
196,68,Undirected,230,,,1,avron,nation
197,198,Undirected,231,,,1,pont de levallois becon,anatole france
198,199,Undirected,232,,,1,anatole france,louise michel
199,200,Undirected,233,,,1,louise michel,porte de champerret
200,201,Undirected,234,,,1,porte de champerret,pereire
201,202,Undirected,235,,,1,pereire,wagram
202,203,Undirected,236,,,1,wagram,malesherbes
203,183,Undirected,237,,,1,malesherbes,villiers
183,204,Undirected,238,,,1,villiers,europe
204,115,Undirected,239,,,1,europe,saint-lazare
115,61,Undirected,240,,,1,saint-lazare,havre-caumartin
61,19,Undirected,241,,,1,havre-caumartin,opera
19,205,Undirected,242,,,1,opera,quatre-septembre
205,206,Undirected,243,,,1,quatre-septembre,bourse
206,207,Undirected,244,,,1,bourse,sentier
207,208,Undirected,245,,,1,sentier,reaumur-sebastopol
208,97,Undirected,246,,,1,reaumur-sebastopol,arts et metiers
97,209,Undirected,247,,,1,arts et metiers,temple
209,24,Undirected,248,,,1,temple,republique
24,210,Undirected,249,,,1,republique,parmentier
210,211,Undirected,250,,,1,parmentier,rue saint-maur
211,212,Undirected,251,,,1,rue saint-maur,pere lachaise
212,213,Undirected,252,,,1,pere lachaise,gambetta
213,214,Undirected,253,,,1,gambetta,porte de bagnolet
214,302,Undirected,254,,,1,porte de bagnolet,gallieni
103,215,Undirected,255,,,1,porte des lilas,saint-fargeau
215,216,Undirected,256,,,1,saint-fargeau,pelleport
216,213,Undirected,257,,,1,pelleport,gambetta
217,218,Undirected,258,,,1,porte de clignancourt,simplon
218,107,Undirected,259,,,1,simplon,marcadet-poissoniers
107,219,Undirected,260,,,1,marcadet-poissoniers,chateau rouge
219,187,Undirected,261,,,1,chateau rouge,barbes-rochechouart
187,220,Undirected,262,,,1,barbes-rochechouart,gare du nord
220,221,Undirected,263,,,1,gare du nord,gare de I'est
221,222,Undirected,264,,,1,gare de I'est,chateau d'eau
222,23,Undirected,265,,,1,chateau d'eau,strasbourg-saint-denis
23,208,Undirected,266,,,1,strasbourg-saint-denis,reaumur-sebastopol
208,223,Undirected,267,,,1,reaumur-sebastopol,etienne marcel
223,224,Undirected,268,,,1,etienne marcel,les halles
224,94,Undirected,269,,,1,les halles,chatelet
